mouse_name,trials_date,date,eid,mouse_age,dob,age_at_recording_computed,age_at_start_computed,lab
CSHL024,2019-09-30,2020-09-12,89e258e9-cbca-4eca-bac4-13a2388b5113,571,2019-02-19,571.0,223.0,churchlandlab
CSHL025,2019-09-30,2020-10-08,c875fc7d-0966-448a-813d-663088fbfae8,597,2019-02-19,597.0,223.0,churchlandlab
CSHL029,2019-09-30,2020-07-27,0fe99726-9982-4c41-a07c-2cd7af6a6733,524,2019-02-19,524.0,223.0,churchlandlab
CSHL045,2019-11-04,2020-02-24,034e726f-b35f-41e0-8d6c-a22cc32391fb,202,2019-08-06,202.0,90.0,churchlandlab
CSHL046,2019-11-04,2020-06-18,c94463ed-57da-4f02-8406-46f2f03924f3,317,2019-08-06,317.0,90.0,churchlandlab
CSHL047,2019-11-04,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,168,2019-08-06,168.0,90.0,churchlandlab
CSHL049,2019-11-04,2020-01-08,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,155,2019-08-06,155.0,90.0,churchlandlab
CSHL051,2019-11-12,2020-02-05,ecb5520d-1358-434c-95ec-93687ecd1396,176,2019-08-13,176.0,91.0,churchlandlab
CSHL052,2019-11-12,2020-02-18,85dc2ebd-8aaf-46b0-9284-a197aee8b16f,189,2019-08-13,189.0,91.0,churchlandlab
CSHL053,2019-11-12,2020-01-29,12dc8b34-b18e-4cdd-90a9-da134a9be79c,169,2019-08-13,169.0,91.0,churchlandlab
CSHL054,2019-11-12,2020-02-11,a71175be-d1fd-47a3-aa93-b830ea3634a1,182,2019-08-13,182.0,91.0,churchlandlab
CSHL055,2019-11-12,2020-02-17,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,188,2019-08-13,188.0,91.0,churchlandlab
CSHL058,2020-01-20,2020-07-07,f312aaec-3b6f-44b3-86b4-3a0c119c0438,266,2019-10-15,266.0,97.0,churchlandlab
CSHL059,2020-01-20,2020-03-03,d2f5a130-b981-4546-8858-c94ae1da75ff,140,2019-10-15,140.0,97.0,churchlandlab
CSHL060,2020-01-20,2020-03-09,2e6e179c-fccc-4e8f-9448-ce5b6858a183,146,2019-10-15,146.0,97.0,churchlandlab
CSHL061,2020-06-04,2020-07-27,93374502-c701-4b83-aa1a-23050b514708,349,2019-08-13,349.0,296.0,churchlandlab
CSHL062,2020-06-04,2020-07-08,7ae3865a-d8f4-4b73-938e-ddaec33f8bc6,330,2019-08-13,330.0,296.0,churchlandlab
CSHL065,2020-07-20,2020-10-02,ad8e802d-ce83-437a-865f-fa769762a602,416,2019-08-13,416.0,342.0,churchlandlab
CSHL066,2020-07-20,2020-09-26,2cff323c-1510-4b78-a5d1-ca07b203f60c,529,2019-04-16,529.0,461.0,churchlandlab
CSHL067,2020-07-20,2020-09-29,ab8a5331-1d0f-4b8a-9e0f-7be41c4857f9,532,2019-04-16,532.0,461.0,churchlandlab
CSHL068,2020-07-20,2020-10-06,022dd14c-eff2-470f-863c-e019fafa53ae,539,2019-04-16,539.0,461.0,churchlandlab
CSHL069,2020-07-20,2020-10-10,a06189b0-a66e-4a5a-a1ef-4afa80de8b31,543,2019-04-16,543.0,461.0,churchlandlab
CSHL070,2020-07-20,2020-09-23,87b628a4-f11a-429c-ad98-34d43cf3178b,526,2019-04-16,526.0,461.0,churchlandlab
CSHL071,2020-08-17,2020-10-02,531e7ac0-cfcd-4593-9bf7-bb7bab5d66e9,549,2019-04-02,549.0,503.0,churchlandlab
CSHL072,2020-08-17,2020-10-09,fe0ecca9-9279-4ce6-bbfe-8b875d30d34b,556,2019-04-02,556.0,503.0,churchlandlab
CSHL073,2020-08-17,2020-09-27,fe80df7d-15f0-4f89-9bbb-d3e5725c4b0a,544,2019-04-02,544.0,503.0,churchlandlab
CSHL075,2020-08-17,2020-10-12,bb2153e7-1052-491e-a022-790e755c7a54,559,2019-04-02,559.0,503.0,churchlandlab
CSHL_018,2019-09-03,2020-03-16,c90cdfa0-2945-4f68-8351-cb964c258725,523,2018-10-10,523.0,328.0,churchlandlab
CSHL_019,2019-09-03,2020-03-12,9931191e-8056-4adc-a410-a4a93487423f,519,2018-10-10,519.0,328.0,churchlandlab
CSH_ZAD_001,2019-08-09,2020-01-16,3e7ae7c0-fe8b-487c-9354-036236fa1010,275,2019-04-16,275.0,115.0,zadorlab
CSH_ZAD_011,2020-01-10,2020-03-21,5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,186,2019-09-17,186.0,115.0,zadorlab
CSH_ZAD_019,2020-02-20,2020-08-14,7f6b86f9-879a-4ea2-8531-294a221af5d0,276,2019-11-12,276.0,100.0,zadorlab
CSH_ZAD_022,2020-02-25,2020-05-21,41431f53-69fd-4e3b-80ce-ea62e03bf9c7,191,2019-11-12,191.0,105.0,zadorlab
CSH_ZAD_024,2020-02-25,2020-06-08,8207abc6-6b23-4762-92b4-82e05bed5143,209,2019-11-12,209.0,105.0,zadorlab
CSH_ZAD_025,2020-06-15,2020-07-27,549caacc-3bd7-40f1-913d-e94141816547,118,2020-03-31,118.0,76.0,zadorlab
CSH_ZAD_026,2020-06-15,2020-08-14,5d01d14e-aced-4465-8f8e-9a1c674f62ec,136,2020-03-31,136.0,76.0,zadorlab
CSH_ZAD_029,2020-06-15,2020-09-11,e349a2e7-50a3-47ca-bc45-20d1899854ec,164,2020-03-31,164.0,76.0,zadorlab
DY_008,2019-11-21,2020-03-03,0f25376f-2b78-4ddc-8c39-b6cdbe7bf5b9,198,2019-08-18,198.0,95.0,danlab
DY_009,2019-11-21,2020-02-27,db4df448-e449-4a6f-a0e7-288711e7a75a,193,2019-08-18,193.0,95.0,danlab
DY_010,2019-11-21,2020-01-21,4fa70097-8101-4f10-b585-db39429c5ed0,156,2019-08-18,156.0,95.0,danlab
DY_011,2019-11-21,2020-01-31,7bee9f09-a238-42cf-b499-f51f765c6ded,166,2019-08-18,166.0,95.0,danlab
DY_013,2020-01-28,2020-03-12,e535fb62-e245-4a48-b119-88ce62a6fe67,141,2019-10-23,141.0,97.0,danlab
DY_014,2020-01-28,2020-07-13,f25642c6-27a5-4a97-9ea0-06652db79fbd,259,2019-10-28,259.0,92.0,danlab
DY_016,2020-08-08,2020-09-11,5339812f-8b91-40ba-9d8f-a559563cc46b,121,2020-05-13,121.0,87.0,danlab
DY_018,2020-08-08,2020-10-15,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,155,2020-05-13,155.0,87.0,danlab
DY_020,2020-08-08,2020-09-29,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,139,2020-05-13,139.0,87.0,danlab
KS014,2019-07-31,2019-12-03,16693458-0801-4d35-a3f1-9115c7e5acfd,217,2019-04-30,217.0,92.0,cortexlab
KS016,2019-07-31,2019-12-05,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,219,2019-04-30,219.0,92.0,cortexlab
KS022,2019-09-23,2019-12-09,15f742e1-1043-45c9-9504-f1e8a53c1744,167,2019-06-25,167.0,90.0,cortexlab
KS023,2019-10-01,2019-12-06,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,164,2019-06-25,164.0,98.0,cortexlab
KS042,2020-09-28,2020-11-23,8c552ddc-813e-4035-81cc-3971b57efe65,138,2020-07-08,138.0,82.0,cortexlab
KS043,2020-09-28,2020-12-06,9468fa93-21ae-4984-955c-e8402e280c83,151,2020-07-08,151.0,82.0,cortexlab
KS044,2020-09-28,2020-12-07,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,152,2020-07-08,152.0,82.0,cortexlab
KS046,2020-10-07,2020-12-02,0ac8d013-b91e-4732-bc7b-a1164ff3e445,147,2020-07-08,147.0,91.0,cortexlab
