cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.07960276957272919,4.622745697455838e-05,0.07792207792207792,-0.0030512611145026235
ACA,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.06394538468340001,0.02289547553100187,0.19080919080919082,0.0027118185794654053
CP,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.0658466956091188,0.10282057837511106,0.48951048951048953,0.003467811284315325
LS,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.08421679304436125,2.640974717876934e-09,0.004995004995004995,0.0011555707859574054
ACB,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.24406765053708737,4.848484669564044e-06,0.052947052947052944,0.0057420680415773305
mPFC,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.09149996884897185,0.0267292237111119,0.21678321678321677,-0.002362130828242267
ORB,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.046698185612770005,0.10022071320849243,0.3946053946053946,-0.005724707813706692
OLF,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.09754111061233128,0.004867729997463853,0.017982017982017984,0.0021493207169371764
VISp+pm,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.10503902825520485,4.341358348145645e-06,0.10989010989010989,-0.0026488998747118586
SCm,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.44880196166924435,1.6371101146019272e-11,0.004995004995004995,-0.006367127614676968
MBm,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.05815522072497634,0.011147453078883306,0.5504495504495505,0.008635555078296947
PPC,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.019379763806160143,0.5303923023980677,0.7032967032967034,-0.0002539698057722408
CA1,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,-0.09754509582733625,0.009734763400763461,0.17582417582417584,0.0019169190910011662
DG,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.08184461196000924,0.018717049846824582,0.26573426573426573,-0.0018577747925719015
LP,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,0.10160508289296924,0.00012513285283674886,0.005994005994005994,-0.0009075410825520642
PO,ff_quench,1000,ff_quench ~ age_years + abs_contrast + n_trials,-0.0009768414092943389,0.972761820418957,0.988011988011988,0.0010379709355951615
