cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,0.09325935941723178,0.08780957023485371,0.46153846153846156,0.0002283967581895403
ACA,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,0.03340851604307451,0.6457883762707652,0.6633366633366633,-0.0003119259128301281
CP,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.14231541114265533,0.1720529964250247,0.22977022977022976,0.008965042472276849
LS,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.0026181721613651216,0.95061305222498,0.958041958041958,0.00374697867573836
ACB,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.1800373038279955,0.15008291464587667,0.1258741258741259,0.006655410557079664
mPFC,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,0.08658266277816239,0.4150464310736328,0.4155844155844156,0.0008545533805467116
ORB,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,0.0011663129375634543,0.9878008153289114,0.988011988011988,0.002059258240243015
OLF,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.09088452892907245,0.3589419813913002,0.1838161838161838,0.002323194387788355
VISp+pm,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,0.006818312648823003,0.901823594685623,0.8921078921078921,-0.00356553695574785
SCm,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.57015177827478,0.0034296771068915255,0.011988011988011988,0.006148225417006629
MBm,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.20779023907415078,0.0020063746024092752,0.03996003996003996,-0.003150283333276513
PPC,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.03885803140954265,0.7358122424084088,0.6803196803196803,-0.003773566085237098
CA1,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.09654060073744695,0.613181045604716,0.4695304695304695,0.00010014109961524809
DG,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,0.08764000440321229,0.32862126145829507,0.3826173826173826,-0.004509114771457426
LP,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.007468728535664253,0.9119972618290925,0.9050949050949051,0.0025827491273580517
PO,ff_quench_modulation,1000,ff_quench_modulation ~ age_years + n_trials,-0.18489110802722106,0.014203765895560258,0.03596403596403597,0.006261119943402033
