cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-1.6029879657464656,0.004934924190909721,0.2887112887112887,-0.020423218371866426
ACA,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-0.557618411455176,0.38973950529955836,0.6263736263736264,0.032439882943852937
CP,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-0.5737215037664939,0.4891300895661974,0.6223776223776224,-0.07618284353387711
LS,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,0.3663015229266241,0.23667912160720517,0.4855144855144855,-0.036833863731535084
ACB,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-0.9647641863315436,0.3920920248323996,0.37162837162837165,0.03967342241222337
mPFC,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-0.08826013517131616,0.9336291513006469,0.948051948051948,0.021545359846400488
ORB,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,0.3798241333463715,0.47872213727803137,0.6093906093906094,-0.02490284408206816
OLF,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,0.4301472680637313,0.3163926783176383,0.5544455544455544,0.030497530340529336
VISp+pm,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-1.3322191054455734,0.025512233503762062,0.3646353646353646,0.15821446769161848
SCm,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,4.325729627364701,0.017292242154155774,0.13386613386613386,0.006291245934476226
MBm,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,1.4284540910082553,0.015501636204219498,0.16783216783216784,0.0412118057480527
PPC,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-0.9341253070528458,0.20760549013932728,0.32967032967032966,0.09775049957350711
CA1,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,1.650627593063922,0.03322443198493403,0.04795204795204795,0.048548456851568444
DG,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,3.617346516392007,1.5333441948924267e-06,0.017982017982017984,0.0031735895924978764
LP,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,-0.15180249098375906,0.6337173109790128,0.7142857142857143,-0.012164638293888317
PO,fr_delta_modulation,1000,fr_delta_modulation ~ age_years + n_trials,0.4451764342573042,0.14870918190752,0.44255744255744256,0.003875062556262078
