cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,-0.058288920810828496,2.9296631882718793e-06,0.35564435564435565,-8.939027392818733e-05
ACA,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,-0.004180111061925281,0.8148152181541145,0.949050949050949,-0.0016660343320770582
CP,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,-0.11110926613269356,4.308979354570792e-06,0.1918081918081918,-0.0031277864392266837
LS,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.06883806824391706,5.009915836543855e-07,0.14985014985014986,-0.000398693945357563
ACB,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.1680594220937381,1.7489225033779657e-06,0.0999000999000999,0.008894532949229216
mPFC,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.12077207068639725,5.118308815759631e-06,0.2967032967032967,0.004225272220691428
ORB,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,-0.046389764185238096,0.00880723342061204,0.5364635364635365,-0.00044994460001663206
OLF,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,-0.06647015759808794,0.003456515934732773,0.6323676323676324,0.006421181963951392
VISp+pm,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,-0.009246612668246045,0.595952240664935,0.922077922077922,0.004661540058509928
SCm,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.4398341604237984,5.104705442126626e-30,0.015984015984015984,-0.011129617842835128
MBm,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.13384052178577707,3.2483841271596475e-18,0.12287712287712288,0.004489479613231069
PPC,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.13008189254491892,1.3218707582164888e-08,0.1038961038961039,0.00470666746276388
CA1,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.09759845646715014,1.060657000604137e-06,0.0919080919080919,0.0010113827745507112
DG,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.031095003105470247,0.10112520758086971,0.6953046953046953,-0.0013592977530795909
LP,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.03027778479494997,0.013267002797910758,0.4275724275724276,0.0008611477750275205
PO,post_ff,1000,log_post_ff ~ age_years + abs_contrast + n_trials,0.09869786317795307,4.20695564016091e-15,0.16583416583416583,0.0027253305002967066
