cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,post_ff,1000,log_post_ff ~ age_years + n_trials,-0.03518715606527566,0.27439821234321593,0.5504495504495505,-0.0008732794493759573
ACA,post_ff,1000,log_post_ff ~ age_years + n_trials,0.00022652975237538633,0.9961600394628136,0.999000999000999,-0.0016241528174546528
CP,post_ff,1000,log_post_ff ~ age_years + n_trials,-0.085509170210096,0.17748207192700627,0.3166833166833167,-0.0032832682463352007
LS,post_ff,1000,log_post_ff ~ age_years + n_trials,0.06642410976925486,0.09344803643395452,0.17682317682317683,4.1596242435506525e-05
ACB,post_ff,1000,log_post_ff ~ age_years + n_trials,0.19148450749862747,0.03872288313413539,0.04495504495504495,0.005226560799264796
mPFC,post_ff,1000,log_post_ff ~ age_years + n_trials,0.14628772284961267,0.04469817855613339,0.1978021978021978,-0.0015989057239151757
ORB,post_ff,1000,log_post_ff ~ age_years + n_trials,-0.058174177006833236,0.21028196294381185,0.46053946053946054,-0.000758793123629173
OLF,post_ff,1000,log_post_ff ~ age_years + n_trials,-0.020190041484713855,0.7464930643873486,0.8941058941058941,0.0040116630424733395
VISp+pm,post_ff,1000,log_post_ff ~ age_years + n_trials,-0.02220428357138292,0.6336351716026969,0.8031968031968032,0.004757345823118279
SCm,post_ff,1000,log_post_ff ~ age_years + n_trials,0.4497613936463872,2.732375675319725e-05,0.02097902097902098,-0.012435340769358028
MBm,post_ff,1000,log_post_ff ~ age_years + n_trials,0.13350746469657196,0.001823767719705488,0.13186813186813187,0.004736604620816607
PPC,post_ff,1000,log_post_ff ~ age_years + n_trials,0.1323644087518898,0.0362529187651473,0.1068931068931069,0.005585341325749576
CA1,post_ff,1000,log_post_ff ~ age_years + n_trials,0.0842389245299774,0.11898848555895034,0.15684315684315683,0.0013151944567880282
DG,post_ff,1000,log_post_ff ~ age_years + n_trials,0.009273698355646981,0.854858261242686,0.9000999000999002,-0.0027776883331059004
LP,post_ff,1000,log_post_ff ~ age_years + n_trials,0.057936114672993554,0.037437691588132455,0.16983016983016982,0.00114040671247952
PO,post_ff,1000,log_post_ff ~ age_years + n_trials,0.10623049805179689,0.0003103949899159872,0.16183816183816183,0.00387938665038031
