cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,-0.03546412216043574,0.2706373729421574,0.5474525474525475,-0.0008040766533895269
ACA,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.00035962984051330764,0.993915191846628,0.999000999000999,-0.0016143689754122524
CP,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,-0.08871215812247915,0.1617401534249947,0.29270729270729273,-0.0031567251661429375
LS,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.06647852633356278,0.0930507291625314,0.17482517482517482,3.988167151441074e-05
ACB,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.19148450749862747,0.03872288313413539,0.04495504495504495,0.005226560799264796
mPFC,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.14628772284961267,0.04469817855613339,0.1978021978021978,-0.0015989057239151757
ORB,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,-0.05962112821666974,0.19946071862763304,0.45054945054945056,-0.0005486662048388139
OLF,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,-0.027431491496958768,0.660346453777612,0.8541458541458542,0.0035909829880501672
VISp+pm,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,-0.02220428357138292,0.6336351716026969,0.8031968031968032,0.004757345823118279
SCm,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.4497613936463872,2.732375675319725e-05,0.02097902097902098,-0.012435340769358028
MBm,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.13351709802935355,0.0018217680873095585,0.13186813186813187,0.004784862381846104
PPC,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.1323644087518898,0.0362529187651473,0.1068931068931069,0.005585341325749576
CA1,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.08358610366530261,0.12164101304124632,0.15884115884115885,0.001316299095374217
DG,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.009833688094762138,0.8460304954810361,0.9180819180819181,0.002254691043538632
LP,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.05969663057953784,0.031129060220748017,0.15184815184815184,0.001207703200813525
PO,post_ff,1000,log_post_ff ~ age_years + C(cluster_region) + n_trials,0.10623049805179689,0.0003103949899159872,0.16183816183816183,0.00387938665038031
