cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.7311575991523862,6.135090130764614e-31,0.007992007992007992,0.002952700236884527
ACA,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,-0.231094444228401,0.006823070376032061,0.3786213786213786,-0.0007613365223654603
CP,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.2592215191872365,0.03784287965328766,0.46153846153846156,-0.025595608983519952
LS,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.4184846560582611,5.676398698372095e-12,0.03796203796203796,-0.0006561369805056616
ACB,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,1.5127464051351842,1.0213904652571772e-07,0.07092907092907093,0.10236709496249424
mPFC,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.41817179551413763,0.011273914592857216,0.13686313686313686,0.002299698864381714
ORB,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.24689759068772257,0.005382732141364165,0.24775224775224775,-0.011628617979174184
OLF,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.22488946800592774,0.01492359438164929,0.1918081918081918,0.006840177381706097
VISp+pm,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.5377695234886969,2.339883640424576e-16,0.04795204795204795,-0.015462178730115407
SCm,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.6645888546609734,1.3908735461337925e-05,0.06793206793206794,0.006615816945437302
MBm,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.13936838247569155,0.0034815780105833492,0.4045954045954046,0.009521495808846462
PPC,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,-0.0282910033772677,0.7644303948698561,0.9120879120879121,0.0031656411919580023
CA1,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.7180906272033601,9.358069987294812e-12,0.02197802197802198,0.006745287986985866
DG,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,0.559805792561975,4.964255041006914e-11,0.05194805194805195,0.0075144686592907425
LP,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,-0.5781143057284408,2.58439948277989e-46,0.000999000999000999,-0.006513511118931693
PO,post_fr,1000,log_post_fr ~ age_years + abs_contrast + n_trials,-0.22116344416746056,2.8945313473077304e-07,0.40559440559440557,-0.00726989324910083
