cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.11889625757384356,0.0010477920728528193,0.052947052947052944,0.001385916804912207
ACA,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.09048026051974781,0.08533279673864642,0.22377622377622378,-0.0033549000089870334
CP,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.09201712137128949,0.20411957735187325,0.3106893106893107,-0.0046464414647617875
LS,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.01456785050060301,0.7054226250933826,0.7682317682317682,-0.0009143421959944011
ACB,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.0029426719221617233,0.974804396977639,0.972027972027972,0.002352573257299327
mPFC,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.05931064864884389,0.4180862154197158,0.6073926073926074,0.002597338909067209
ORB,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.10746322060150669,0.0251402354731712,0.22477522477522477,0.004506233742801574
OLF,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.08013973158983106,0.18556892124247304,0.5774225774225774,0.0028584686736849063
VISp+pm,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.1156633648762222,0.017902658274888492,0.23676323676323677,0.007905756197650207
SCm,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.2187059965368357,0.04998499047452135,0.24175824175824176,-0.00870306529638906
MBm,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.106540844854354,0.021014073402726742,0.24375624375624375,3.518251057155797e-05
PPC,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.11135666100348122,0.09140969673967587,0.15384615384615385,0.0057583108449354116
CA1,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.09435510820857514,0.12329667314674268,0.12187812187812187,0.00036430684580186014
DG,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.026461838550526428,0.6010085448706495,0.7582417582417582,-0.0010763842264252636
LP,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,-0.0172476614309737,0.548052999124652,0.6383616383616384,0.0013030012726838798
PO,pre_ff,1000,log_pre_ff ~ age_years + C(cluster_region) + n_trials,0.10607174743685063,0.0004332787576861791,0.16183816183816183,0.0032159494101202677
