cluster_region,y_col,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.7783804131394695,3.7883670920119e-49,0.000999000999000999,-0.014695551239806951
ACA,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.16026827656198145,0.036576764897424195,0.5134865134865135,-0.0018085189564048267
CP,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,1.0196172183529038,4.880299540768048e-13,0.13686313686313686,-0.03879151376190867
LS,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.0524283484884501,0.14698161458551853,0.6423576423576424,0.0013954238972382846
ACB,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.5612222479311052,0.000325393679259744,0.3066933066933067,0.024960321593026115
mPFC,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,-0.16583368755195113,0.1707911311183311,0.5544455544455544,-0.031989065466993954
ORB,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.1280564852201135,0.12397509305265887,0.35764235764235763,0.00877818107690565
OLF,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.2738111462050054,0.0004660213807429325,0.11388611388611389,-0.005396741490842732
VISp+pm,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.697005202965952,1.4863260525610758e-25,0.03196803196803197,-0.03461255689853871
SCm,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.2943774829079976,0.03504900791638551,0.46153846153846156,-0.006986766308555509
MBm,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.2836235934229049,5.869739860703054e-09,0.16383616383616384,0.01409073882113952
PPC,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,-0.17017833703799992,0.062100515581094314,0.33266733266733267,-0.018465835203206802
CA1,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.5866224331482506,2.8791352136626044e-15,0.008991008991008992,0.017055103818370596
DG,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,0.0022613955542184205,0.9662203409219137,0.993006993006993,0.006335929773411633
LP,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,-0.5311695583654168,2.1854714623065802e-27,0.004995004995004995,-0.002212255791293273
PO,pre_fr,1000,log_pre_fr ~ age_years + abs_contrast + n_trials,-0.08219231140370785,0.1313565810702115,0.7682317682317682,-0.0010799951475489217
