,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,-0.09224131107593216,0.0027164421572941563,2.716442157294156e-05,2.710051175842088e-05,-0.09758386751754898,-0.09407385703534676,-0.09224179196879584,-0.0904171847613198,-0.08691966605480214
age_years-age_years,0.07230259285094415,0.00782611892929249,7.82611892929249e-05,7.370648504556251e-05,0.0574782366754339,0.06699298414137189,0.07217905274788158,0.07762193748600903,0.08782579649827234
abs_contrast-abs_contrast,-0.12872272125913226,0.006231205474633889,6.231205474633889e-05,6.231205474633904e-05,-0.14076820455165898,-0.13292603523295238,-0.12873115134534385,-0.1244893745829975,-0.11665278504299553
n_trials-n_trials,-0.0032631320568672533,0.00026677432982124145,2.6677432982124143e-06,2.667743298212413e-06,-0.003785912918887243,-0.0034430575319811174,-0.0032663713278055936,-0.003085553652659866,-0.0027309044049502462
cluster_region-ACA,-0.04455425755190885,0.013839314207426557,0.00013839314207426558,0.00013839314207426525,-0.07119210647938266,-0.05394961394112871,-0.04444500280136887,-0.03531568240609957,-0.017506717994967252
cluster_region-ACB,0.0028557630402222057,0.0181046045850401,0.000181046045850401,0.00018104604585040092,-0.032581940287837494,-0.009279044092950023,0.0028086783090017567,0.015092438441007182,0.03882558173847196
cluster_region-CA1,-0.2010599505785378,0.00889894732384961,8.898947323849609e-05,8.898947323849614e-05,-0.21828182080883252,-0.20703557372753315,-0.20121348336257544,-0.1952280297459233,-0.18327315344929349
cluster_region-CP,0.014490760032335669,0.007445652591806979,7.445652591806979e-05,7.296647144968991e-05,-9.971329760889728e-05,0.009550141987700964,0.01457578250854526,0.019431320561408803,0.028962913866446758
cluster_region-DG,-0.03425735721119658,0.010148628361224035,0.00010148628361224034,0.00010148628361224034,-0.05384784535590353,-0.041141284600278806,-0.034317167455746006,-0.027355129271413665,-0.014335698265371533
cluster_region-LP,-0.015731122779110204,0.007539632724372156,7.539632724372156e-05,7.539632724372154e-05,-0.03043554172734929,-0.020751668219110408,-0.015805358428254493,-0.010673487393973924,-0.0011823101148996473
cluster_region-LS,-0.05195476957769336,0.008121194983909615,8.121194983909615e-05,8.121194983909601e-05,-0.06762818621883332,-0.057461137154475664,-0.05191121284904461,-0.046418451965416864,-0.03609428395412834
cluster_region-MBm,0.08340004492425156,0.0057197920877323895,5.7197920877323894e-05,5.719792087732391e-05,0.07214649333306127,0.07955554770848074,0.0834222237476695,0.08723553794422405,0.09462402110460184
cluster_region-MOs,0.02642368095685173,0.009341294901887015,9.341294901887015e-05,9.027889528088233e-05,0.008012084418220669,0.020274414811355643,0.026455260350152762,0.03266576351095394,0.0445457522066799
cluster_region-mPFC,0.028669087751615044,0.013628560613947122,0.0001362856061394712,0.00013628560613947126,0.0018165992510519827,0.019531912953989043,0.028758579362190305,0.03795422731371277,0.05525650542696194
cluster_region-OLF,0.02168863257813304,0.010330282854866521,0.00010330282854866522,0.00010330282854866522,0.0019234195238662258,0.014522384278374871,0.02180045588264356,0.028714665948534286,0.04219053485820523
cluster_region-ORB,0.00916635293750701,0.010272086379635758,0.00010272086379635758,0.00010272086379635769,-0.010962896998590906,0.002272565342722134,0.009139011254977694,0.01605610099605291,0.029333424455936872
cluster_region-PO,0.0011682482759201114,0.006885805294923395,6.885805294923396e-05,6.885805294923396e-05,-0.012103050054544668,-0.003581442774924862,0.001160543998247489,0.005800922207249251,0.014810028881816303
cluster_region-PPC,-0.01714660457597269,0.010583602564822644,0.00010583602564822644,0.00010736040097557193,-0.03849263464397656,-0.024323063196539645,-0.01709750444927037,-0.009987389262838322,0.003259536515340654
cluster_region-SCm,0.1728463760367293,0.008809948081069508,8.809948081069509e-05,8.809948081069493e-05,0.15572835102952137,0.16683925834373425,0.17287471370496088,0.17887100782747758,0.18986099550668004
cluster_region-VISp+pm,0.003995115740853767,0.010866058323097033,0.00010866058323097033,0.00010866058323097021,-0.01712290398999399,-0.0033786676455017624,0.003973303056271337,0.011287179697303511,0.02538005413683898
sig2,0.8221888416413649,0.0028618244760841606,2.861824476084161e-05,2.8364206494421962e-05,0.8164655778452415,0.8203361770047332,0.8221919064700415,0.8240770270882807,0.8278282436640647
g_cluster_region,0.025264296620539056,0.010287901214337309,0.00010287901214337309,0.00010593890015852873,0.012356572239369373,0.018312865879843897,0.023106721618033666,0.029728521276278373,0.05095331774470599
g_continuous,0.06319717249939397,0.10191670260748328,0.001019167026074833,0.001019167026074834,0.011639798769351424,0.024214796078104728,0.038584733768893154,0.06791317356843769,0.2502028781332133
