,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,-0.12755692590169054,0.0050711035544526,5.0711035544526e-05,5.071103554452599e-05,-0.13752161908879654,-0.1310387716928108,-0.12752234602465212,-0.12413890507563244,-0.11775511161551687
age_years-age_years,0.07019398137879644,0.014749845897380319,0.0001474984589738032,0.00014749845897380338,0.041324909226372455,0.06013713135822489,0.07012393547710286,0.08011269103290969,0.09960444615267189
n_trials-n_trials,-0.0003414493700370542,9.88573868790268e-05,9.88573868790268e-07,1.0047525602273368e-06,-0.0005385098993246765,-0.00040776543862193287,-0.0003414799214946473,-0.0002751014983156507,-0.0001483516808256293
cluster_region-ACA,-0.0577837476948839,0.025351234944327134,0.00025351234944327137,0.00024919566140987843,-0.1080233287620055,-0.07488962285117737,-0.057723012880749026,-0.04072722260483601,-0.008266112677835617
cluster_region-ACB,0.03360246917182943,0.03173639787297408,0.0003173639787297408,0.00031975599109300786,-0.028215709757214838,0.011839519916976508,0.03321234002207168,0.054796110897046495,0.09642599233959127
cluster_region-CA1,-0.19269367332635878,0.016647332863666216,0.00016647332863666214,0.0001712311567305964,-0.22564815037730285,-0.2038845890831522,-0.192501755770988,-0.18137967940377353,-0.1605120772643854
cluster_region-CP,-0.019130866982632787,0.013825932894550912,0.0001382593289455091,0.0001382593289455091,-0.045810068640547014,-0.028203552003318144,-0.01942643792436797,-0.009996747253350388,0.008509149073354101
cluster_region-DG,-0.015066783306539426,0.018945799169593668,0.00018945799169593669,0.0001894579916959371,-0.05166032293828523,-0.02817649367750762,-0.015107560245631878,-0.00229657817117284,0.022929249184501375
cluster_region-LP,-0.019394725086732546,0.014104810884661716,0.00014104810884661717,0.00013876643860386595,-0.0473771751789026,-0.02885482961842729,-0.019347647791214874,-0.009987670455233438,0.008303690534529349
cluster_region-LS,-0.02273995422608648,0.014876588255963602,0.00014876588255963603,0.00014876588255963646,-0.05176950457520242,-0.03283551759805532,-0.022760743141467664,-0.012617722960451556,0.006070657271195964
cluster_region-MBm,0.09174306064909424,0.010674943844815253,0.00010674943844815253,0.00010674943844815242,0.07075211716422827,0.08460195602383738,0.09171155450094068,0.09892200021005262,0.11273446042611268
cluster_region-MOs,0.002106138088696281,0.017481268014735173,0.0001748126801473517,0.00017134440015975196,-0.032090784217106205,-0.009381945509210034,0.0022007476393410288,0.013700928333355275,0.03595316392298497
cluster_region-mPFC,0.033722064323262656,0.024820683434444973,0.00024820683434444976,0.00024820683434444954,-0.01459597186978475,0.016964900373680432,0.033740445629172555,0.0507757950198385,0.08228085056197976
cluster_region-OLF,0.04914645770082603,0.01939889881056976,0.00019398898810569758,0.00019096649588649,0.01064354701765688,0.036468997652006466,0.04923176064951401,0.0622621763874546,0.08712309652976134
cluster_region-ORB,0.013084132242413622,0.019183962974095893,0.00019183962974095894,0.0001918396297409588,-0.02395129356140356,9.418780609119268e-05,0.013223662914936662,0.025966099202449595,0.05035659182576875
cluster_region-PO,0.003159178034603925,0.01283272618754294,0.0001283272618754294,0.0001283272618754292,-0.021356600260522274,-0.005622117760730689,0.0030458378691571955,0.011905697898817874,0.028487968902839854
cluster_region-PPC,-0.021884173993235688,0.01945837343855091,0.00019458373438550907,0.00019458373438550926,-0.060512304774633194,-0.03477657262414554,-0.021831138410623938,-0.008741026696014061,0.015403768053305747
cluster_region-SCm,0.1268416535335389,0.016132163230364784,0.00016132163230364786,0.00016132163230364802,0.09532800891256117,0.11596603256453106,0.12687715173995778,0.13774977195774724,0.15803655261988478
cluster_region-VISp+pm,-0.004711229127795428,0.020306983577335378,0.0002030698357733538,0.0002030698357733537,-0.044501853651386765,-0.01806557514501274,-0.004679711793345264,0.009059357015072218,0.035302356088718734
sig2,0.3334671023513036,0.0034434327754625234,3.4434327754625234e-05,3.443432775462528e-05,0.3269055585346373,0.3310811445958316,0.3334638045047863,0.33581318881492916,0.340367723802887
g_cluster_region,0.034473572590108664,0.013835041791775448,0.00013835041791775447,0.00014330203610109555,0.016530378221449864,0.024896246924981366,0.031541977533149995,0.04075935790462791,0.06875295817441723
g_continuous,0.12941999666279763,0.7169862705503202,0.007169862705503201,0.007169862705503205,0.013651834225873427,0.03074654817947465,0.05280601378933243,0.10547548730712514,0.5812307964869704
