,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,-0.1350259584354965,0.007991369902898353,7.991369902898353e-05,7.99136990289836e-05,-0.15082188087726228,-0.14039575925213427,-0.13504180853131975,-0.12964341422315173,-0.11930204677057102
age_years-age_years,-0.06474465004384615,0.02324914101323908,0.0002324914101323908,0.00023249141013239032,-0.10993906641935233,-0.08040099076839864,-0.06473379532322551,-0.0494981726703169,-0.018452177961338193
cluster_region-ACA,0.02117420670033511,0.03897357456302348,0.0003897357456302348,0.000375988788889156,-0.054655336546420054,-0.005495851607339324,0.02180334543459854,0.04759905790277125,0.09754694844436704
cluster_region-ACB,0.017028599736288962,0.049976953375857454,0.0004997695337585745,0.0004997695337585743,-0.08295915875000118,-0.016287204871701537,0.01732842496052516,0.050453132201571105,0.1140380778404985
cluster_region-CA1,-0.02392095554286156,0.025419535600888502,0.000254195356008885,0.0002541953560088846,-0.07354169321820749,-0.04125356852964273,-0.024263273435365662,-0.0065148937593750055,0.025693182302427845
cluster_region-CP,-0.037373837920578495,0.021765010844929544,0.00021765010844929545,0.0002220088185655226,-0.08057931176909063,-0.05222927204230506,-0.03706432925741223,-0.022467755078068488,0.00464871698449825
cluster_region-DG,0.01169281129314675,0.029037252388686898,0.000290372523886869,0.0002903725238868696,-0.04440447593610252,-0.008113769247099507,0.0114678069236304,0.031098142247155076,0.06837999958381043
cluster_region-LP,0.03479075757186412,0.02181754114882235,0.00021817541148822352,0.00021817541148822344,-0.008200542602696972,0.020314339350779954,0.0350401020712089,0.049439984553844823,0.07728370894767114
cluster_region-LS,0.002401594154273576,0.023472315705328,0.00023472315705328002,0.0002347231570532795,-0.044361488055184806,-0.013161856450942883,0.0023619295558982845,0.01805262583806494,0.04891157072571275
cluster_region-MBm,-0.04971853654667808,0.016893657783781737,0.00016893657783781737,0.00016893657783781702,-0.08305933007724384,-0.06106236425511816,-0.049611836643267404,-0.03818985247769779,-0.01698458824156371
cluster_region-MOs,-0.03228512077560027,0.026972641173265595,0.0002697264117326559,0.00026972641173265613,-0.08554367905217601,-0.05040414258844232,-0.032109762770895736,-0.014377564412134544,0.020552561500341134
cluster_region-mPFC,0.05167717436708334,0.03899214540897,0.00038992145408970003,0.0003899214540896999,-0.024740076110505903,0.02542020635482988,0.051336760015377715,0.07843828322896679,0.12783870423814758
cluster_region-OLF,0.021284882443542714,0.029848246713833727,0.00029848246713833727,0.0002984824671383376,-0.038109787961041454,0.0014521185519242221,0.021303590643812965,0.041619157507984464,0.07964486850237405
cluster_region-ORB,0.004488030553249784,0.030007926550065137,0.0003000792655006514,0.00030007926550065117,-0.05344100078753848,-0.015537023027516587,0.004460697451258249,0.02534740038384361,0.06308249458699593
cluster_region-PO,0.02051459984376006,0.019686724354860515,0.00019686724354860515,0.00019686724354860477,-0.017858725473555798,0.0071583066109184405,0.020509599933919705,0.03370570285383999,0.05897600530044843
cluster_region-PPC,0.0711048956213404,0.030819319681237686,0.00030819319681237684,0.00030819319681237755,0.010748989576941367,0.050387098815806206,0.07093583849419485,0.09163126355903994,0.1314789173178371
cluster_region-SCm,-0.19435714730860743,0.02567113031679009,0.0002567113031679009,0.00026164530683290616,-0.24469023984665486,-0.21162956255310744,-0.19459397743852336,-0.17647377011823334,-0.1446951832259181
cluster_region-VISp+pm,0.08149804580944105,0.03150954977386188,0.0003150954977386188,0.00031509549773861914,0.019795566311256008,0.060382354923707526,0.08157160784536133,0.10307175332351416,0.14228718843813382
n_trials-n_trials,-0.00158722652604806,0.0010640379957273592,1.064037995727359e-05,1.0800101668076994e-05,-0.0036680985915377297,-0.0022986392059459373,-0.001592609090867322,-0.0008625257014925285,0.0005004989859101607
sig2,0.8168952728528275,0.008401813677212886,8.401813677212885e-05,8.401813677212885e-05,0.8005411372645771,0.8110173197462663,0.8168443150805552,0.8226724780692707,0.8333316186580716
g_cluster_region,0.024526046630896133,0.01017935685465129,0.0001017935685465129,0.00010205167978633218,0.011751089326945116,0.017569372755163865,0.022248792226652922,0.028907232987586507,0.05039774839855834
g_continuous,0.12623675659855244,0.6240452268158598,0.006240452268158599,0.0062404522681586,0.013366792306326473,0.030638935658093832,0.05249359436479967,0.10489959854907617,0.5885183996893787
