,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,1.625841327946063,0.05776803175070794,0.0005776803175070793,0.0005776803175070796,1.51303740045587,1.5873024361713512,1.6258506178350702,1.6649819070154601,1.7376787424999394
age_years-age_years,0.37317984056430437,0.17034177560776592,0.0017034177560776593,0.0017034177560776625,0.043583421975473824,0.2570981498124856,0.37397959023384875,0.49037516887970695,0.705509409867806
cluster_region-ACA,0.009014109313004903,0.28806882301449965,0.0028806882301449965,0.0028806882301449965,-0.5620478943576419,-0.1784858367088838,0.007859624087904093,0.2012261394966568,0.5729555028492309
cluster_region-ACB,-1.5043273352968427,0.3690496223075498,0.0036904962230754975,0.003832251640591145,-2.2305466324597147,-1.7509002584540259,-1.5071635436309037,-1.25415765641627,-0.7779194321679198
cluster_region-CA1,0.6025912385490455,0.18809700921575698,0.0018809700921575696,0.002024507399555012,0.2365676603501085,0.474795913801062,0.6017609432948421,0.7296741077183528,0.9692685322809239
cluster_region-CP,0.527786705884576,0.15588547148885926,0.0015588547148885925,0.0015588547148885892,0.21827702076190425,0.4233719698049672,0.5278584962170935,0.6329253116283279,0.834968821194753
cluster_region-DG,0.27877696202039165,0.21843102974013126,0.0021843102974013124,0.002184310297401317,-0.14629091619092902,0.13388807465555536,0.2782139709999468,0.4215572349598957,0.7089443763611148
cluster_region-LP,-0.11212270548114715,0.1614611475710627,0.001614611475710627,0.0015953225165603502,-0.42852929233478326,-0.2224712142675593,-0.11203975012359538,-0.004294018894891871,0.2088826525018116
cluster_region-LS,-0.6167167113217187,0.171465071797198,0.00171465071797198,0.0017146507179719806,-0.9567109716076057,-0.7331944439006105,-0.617710773645053,-0.5026339970379516,-0.27801059631711356
cluster_region-MBm,0.15799193752812854,0.12232536529091252,0.001223253652909125,0.0012232536529091247,-0.0757334453501828,0.07302100771948404,0.1576298906232722,0.24090930059309792,0.3990468677443859
cluster_region-MOs,0.6191976788303097,0.19793671385928324,0.0019793671385928326,0.0019372322395527618,0.23181793291997338,0.4853094316390653,0.6189272518594415,0.7514680142480968,1.002170064816637
cluster_region-mPFC,-0.011825934958049874,0.2833640245367296,0.0028336402453672956,0.002833640245367299,-0.5630100475515866,-0.20457972116017695,-0.00896020008191092,0.18031545349712935,0.5389523961049081
cluster_region-OLF,-0.9405413596733487,0.22041548500728447,0.0022041548500728444,0.0022041548500728475,-1.3845110914202152,-1.085912408286351,-0.9378697238760907,-0.791423019150667,-0.5165460310682766
cluster_region-ORB,-0.2132282205759571,0.21806674702324227,0.0021806674702324227,0.0022079430711534212,-0.6418829676344746,-0.3582723037800486,-0.20976437924045915,-0.06752787540917506,0.2180007197841696
cluster_region-PO,-0.7301029216550202,0.1463722228228103,0.0014637222282281028,0.0014637222282281042,-1.016229601296263,-0.8296144925119612,-0.7311676130133253,-0.6305484671907536,-0.445138843478675
cluster_region-PPC,0.6223807768334517,0.2260862991347411,0.002260862991347411,0.002260862991347414,0.18470097168379385,0.4684161409341305,0.6193881161324022,0.77761698078666,1.0641722316959572
cluster_region-SCm,0.7199510369581246,0.18445061507901797,0.0018445061507901797,0.001896321061593583,0.34772067399802786,0.5974660751445439,0.7208298806227341,0.8435538690710734,1.0836279411766412
cluster_region-VISp+pm,0.5911747430450489,0.2304287051977273,0.002304287051977273,0.0024044293341030135,0.1373074282226909,0.43366034089350863,0.5896821637236523,0.7451392020476517,1.0460766590099295
n_trials-n_trials,-0.012927098644497786,0.007680354168909954,7.680354168909954e-05,7.680354168909944e-05,-0.028128923641607455,-0.018095891429334342,-0.012928218015430832,-0.007743141842387083,0.00208636827355774
sig2,43.818748008259526,0.4508257172241574,0.004508257172241574,0.004508257172241578,42.931432936789534,43.51887918000316,43.81649826058661,44.12115109930795,44.71686787375308
g_cluster_region,0.029708654648240115,0.012727359251620034,0.00012727359251620034,0.00013302582673052778,0.014063666774985724,0.021266571984892877,0.027111011669128184,0.03491498378162845,0.06154631118384962
g_continuous,0.11523574690033936,0.3354756990137433,0.003354756990137433,0.00335475699013743,0.013372453499850147,0.03052286539169827,0.05286221915271014,0.10430128167017241,0.5592059116426137
