,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.08438273510291043,0.0016451913171925063,1.6451913171925065e-05,1.6451913171925045e-05,0.08118190180823846,0.08326348640280912,0.0843804694312917,0.08552383144339509,0.08755779031917131
age_years-age_years,0.050861603120120426,0.004753351542645525,4.7533515426455254e-05,4.846109320314967e-05,0.041595229671204714,0.047673490303377725,0.05089089723997181,0.05407498193001774,0.0602225173233191
abs_contrast-abs_contrast,-0.08583766165300838,0.0037776660456645653,3.777666045664565e-05,3.7776660456645664e-05,-0.09339594534786241,-0.0883930855558115,-0.08581147150016205,-0.0832561008343622,-0.07850848628135779
n_trials-n_trials,-0.00026937245879771025,0.00016282017196021553,1.6282017196021552e-06,1.6282017196021552e-06,-0.0005878065444479679,-0.00037827761603230297,-0.000270674416319745,-0.0001580277783753278,5.039710079435876e-05
cluster_region-ACA,-0.12064588149731276,0.008499854975280914,8.499854975280914e-05,8.499854975280929e-05,-0.13741294315244404,-0.12638122051534498,-0.12055778633235378,-0.11488382021384842,-0.1041713265649178
cluster_region-ACB,-0.027245537952800148,0.010866776508400658,0.00010866776508400657,0.00010866776508400647,-0.04864900284167192,-0.03456015365459619,-0.027144662706647248,-0.01984699567446989,-0.006305974165336247
cluster_region-CA1,0.004920449816912046,0.005291883331678171,5.2918833316781705e-05,5.291883331678178e-05,-0.005518950132767907,0.0013390936709810454,0.004958947522803155,0.00844524742186284,0.01530011786537758
cluster_region-CP,0.02404598253889695,0.004469265283081367,4.469265283081367e-05,4.4692652830813596e-05,0.015335244038356387,0.020933296881043034,0.02404018269772322,0.027058023037605596,0.032769330891020604
cluster_region-DG,0.14220275184728592,0.006183621106250183,6.183621106250184e-05,6.032136992436991e-05,0.13018031627832638,0.1380992122901865,0.14220665054484227,0.1463306716919647,0.1543750082788099
cluster_region-LP,0.21774305521876508,0.00452154979766301,4.52154979766301e-05,4.612176985027191e-05,0.20895696532816183,0.2147253849130785,0.21773640871600852,0.22077747503987097,0.22653807264936435
cluster_region-LS,-0.16628091855307514,0.00485792213683053,4.85792213683053e-05,4.8579221368305356e-05,-0.17565893250243414,-0.16959869352727205,-0.16620566252735686,-0.16296959896617133,-0.15665589867773605
cluster_region-MBm,0.006757927337372076,0.0034469778827071374,3.4469778827071375e-05,3.446977882707141e-05,0.00014486577353659872,0.004401905548590148,0.006756326507828769,0.009092069305590478,0.013489576390421596
cluster_region-MOs,-0.04652025533137392,0.005656892019495972,5.656892019495972e-05,5.5495047055822824e-05,-0.057614415953325684,-0.05037612291268191,-0.046522638233064184,-0.04265872188504217,-0.03541513679928432
cluster_region-mPFC,-0.12215502757064835,0.00831874439456502,8.318744394565022e-05,8.318744394565025e-05,-0.1381753833863435,-0.12778461770521882,-0.12223084948169155,-0.11666419809913374,-0.10571889086092602
cluster_region-OLF,-0.015040966609219011,0.006354709220086797,6.354709220086797e-05,6.354709220086788e-05,-0.027416972436717476,-0.019350051377949325,-0.015040080194126594,-0.010726604237100593,-0.0026449550575671195
cluster_region-ORB,-0.01042204330171586,0.0062135199364171285,6.213519936417129e-05,6.213519936417139e-05,-0.022379725774310105,-0.014614874372281794,-0.010518523790329533,-0.006240386349943889,0.0018557665883434423
cluster_region-PO,0.2130198540543657,0.004106933487527048,4.106933487527049e-05,4.1069334875270555e-05,0.20487285688058368,0.21023869199697953,0.2129943324134424,0.2157944629899166,0.22103597534624497
cluster_region-PPC,-0.14688496769248416,0.0064340946063005285,6.434094606300528e-05,6.434094606300511e-05,-0.15925064771182787,-0.15124241683693235,-0.14694421060317192,-0.14256158852072545,-0.13396340901761852
cluster_region-SCm,0.10667741412803515,0.005251254344785123,5.251254344785122e-05,5.251254344785119e-05,0.09629666336790196,0.10313428863471946,0.10665555184996726,0.1101990619088615,0.11710997418687023
cluster_region-VISp+pm,-0.06017183643300361,0.006646722247958423,6.646722247958423e-05,6.646722247958425e-05,-0.07300075074328172,-0.06468662008764062,-0.06018767459807975,-0.05575370956974789,-0.04700201311927056
sig2,0.3029054524543091,0.0010538105477618453,1.0538105477618452e-05,1.039949707954934e-05,0.3008487898441616,0.3021988665297146,0.30289103539372275,0.3036100317584267,0.3049950236431823
g_cluster_region,0.06785664761305236,0.027641373036110795,0.00027641373036110795,0.00027641373036110833,0.032872111977722586,0.04905921537212657,0.06179704665698988,0.079876351731208,0.13832970976157818
g_continuous,0.06592089783027492,0.17367356873094414,0.0017367356873094415,0.0017760559792869288,0.01148396749885087,0.023802995234666523,0.037884195052789824,0.06638289006836628,0.2702909439213896
