,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.1379765276584665,0.004352343197145096,4.352343197145096e-05,4.3523431971450956e-05,0.12964191786769336,0.1350108023976762,0.13796388138827276,0.14091104519564013,0.14658982000949744
age_years-age_years,0.056048618975085514,0.01271176182757846,0.0001271176182757846,0.00012711761827578473,0.03114305518007961,0.047329100243260286,0.05604467119938787,0.06463183123935669,0.08086047615941197
n_trials-n_trials,-0.00048686543748093907,8.429189012065786e-05,8.429189012065786e-07,8.568518648547117e-07,-0.0006492723216798751,-0.0005440642287842823,-0.00048742738135779026,-0.00043113484136978315,-0.0003191534958848199
cluster_region-ACA,-0.13371337462672386,0.022367598909867725,0.00022367598909867726,0.00022367598909867737,-0.17825298358188135,-0.1486468758871773,-0.13369147676171333,-0.11858831918652185,-0.0904766941891305
cluster_region-ACB,-0.028487737292410855,0.028072908095763082,0.0002807290809576308,0.00028072908095763053,-0.08411470164262745,-0.047275190050913886,-0.028505931316894953,-0.009282169798189834,0.026164084075168896
cluster_region-CA1,0.006038242472377359,0.013903265618181967,0.00013903265618181966,0.0001390326561818198,-0.02165179123352724,-0.0034367751561668923,0.005877634386594297,0.015375707608226534,0.033792034685055455
cluster_region-CP,0.013214384239606136,0.011819064113386952,0.00011819064113386952,0.0001181906411338696,-0.009589879545441363,0.005176739687035387,0.013119811427647203,0.021153096723727834,0.03673475392652497
cluster_region-DG,0.1586748458265626,0.01640440808450716,0.00016404408084507162,0.00016404408084507173,0.1266803269683798,0.14773314600740084,0.1583914986301938,0.16973443279933043,0.19098921991300188
cluster_region-LP,0.24938436884451412,0.012083752251151648,0.00012083752251151647,0.00012083752251151654,0.2258451115264196,0.2411297641760239,0.249238593785386,0.25759486302691126,0.27331266073844257
cluster_region-LS,-0.17663497233860628,0.012845055651450403,0.00012845055651450405,0.00012845055651450422,-0.20157177266041248,-0.18530602703714955,-0.17667210345525797,-0.1680913096840057,-0.15118762219946402
cluster_region-MBm,0.0017977515639774396,0.009200531796006304,9.200531796006303e-05,9.200531796006297e-05,-0.016049437902931417,-0.004473619358261467,0.001789643912403284,0.008072480676106247,0.019792390661307165
cluster_region-MOs,-0.07265608461928606,0.014931603671746325,0.00014931603671746325,0.00014614703142810248,-0.10160557563270771,-0.08294348094044283,-0.0728822493381042,-0.06255894794421286,-0.04315417067339453
cluster_region-mPFC,-0.11725496884215345,0.021685260099571748,0.00021685260099571748,0.0002175813776336626,-0.15880426866159955,-0.1323789369737626,-0.11708067728373656,-0.10237002302069179,-0.07425658870395326
cluster_region-OLF,-0.0032871343842990563,0.016622226771212303,0.00016622226771212303,0.00016622226771212346,-0.03588764018586761,-0.01452465971918191,-0.0033227382112339414,0.007931392354396594,0.02956702401818131
cluster_region-ORB,-0.01310923662542454,0.016334508105697924,0.00016334508105697923,0.00016334508105697912,-0.04473704898944761,-0.024295108273478437,-0.01308442064712284,-0.001926626794694259,0.018691451895601292
cluster_region-PO,0.24636004825111363,0.011023329169495165,0.00011023329169495164,0.00011023329169495157,0.22490750749925484,0.23887520452159536,0.2464340930971281,0.25386655501319155,0.2680673820718181
cluster_region-PPC,-0.15843014889301676,0.0169343158573565,0.00016934315857356497,0.00016934315857356484,-0.19100301274108772,-0.16992012778039134,-0.15838437775208725,-0.1468855237974337,-0.12586990669075276
cluster_region-SCm,0.1041703350074693,0.013902272991812426,0.00013902272991812425,0.00013902272991812416,0.07681114244507413,0.09483325595609556,0.10425794697828766,0.11346747532998443,0.13122391287192955
cluster_region-VISp+pm,-0.07606631858369974,0.017479194528082987,0.0001747919452808299,0.00017479194528082916,-0.11087326644282723,-0.08794553168509021,-0.07611508281269985,-0.06406218398448738,-0.0425966228668296
sig2,0.24236121373731145,0.0024985663181835544,2.4985663181835543e-05,2.4985663181835567e-05,0.2374824468020744,0.24067017267081856,0.2423592430729668,0.24404816076386499,0.24731753620512484
g_cluster_region,0.09592607288259065,0.040513707731054546,0.0004051370773105455,0.0004112886684726934,0.045981670059473095,0.0688450213530881,0.08697435102281331,0.11315687745732272,0.20009807197439342
g_continuous,0.12499418339518793,0.5398589891843475,0.0053985898918434755,0.005615050424087476,0.0138196703265431,0.03111844055319006,0.05297789796401822,0.10592897983795219,0.6089097540211205
