,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,1.4696482522223653,0.006871538271754219,6.871538271754218e-05,6.871538271754221e-05,1.456495761891811,1.4649117652705081,1.4694997563689105,1.474283626473715,1.4830345602531025
age_years-age_years,0.23158289837731588,0.020010526446744996,0.00020010526446744996,0.00020010526446744982,0.1929330894440615,0.2180665131426466,0.23155307403608952,0.24493251528038212,0.2705891012103017
abs_contrast-abs_contrast,-0.1360174414660108,0.015563173263765174,0.00015563173263765173,0.00015563173263765165,-0.1667839114222892,-0.14642656228800716,-0.13605343034581474,-0.12560062350377366,-0.10577337230436713
n_trials-n_trials,0.009782891631282934,0.0006666467311768255,6.666467311768255e-06,6.666467311768252e-06,0.00847139141808767,0.009338689030077691,0.009778320542580743,0.010232647194339861,0.011117629978990736
cluster_region-ACA,-0.18463375176151295,0.0346710790403691,0.000346710790403691,0.00034671079040369114,-0.2527971110505299,-0.20786353642802805,-0.1845415866814884,-0.16125408632196958,-0.1168876675212702
cluster_region-ACB,-0.5901468750183675,0.044837185650792116,0.0004483718565079212,0.00043846938482781266,-0.6778550445828455,-0.6198008625837966,-0.5904556348271386,-0.5597840072137192,-0.5020450160247834
cluster_region-CA1,0.12350883297347078,0.021646449643484875,0.00021646449643484872,0.0002164644964348496,0.08121348941504873,0.1091210303685994,0.12356990482245725,0.13823157301777939,0.16552937404096332
cluster_region-CP,-0.05264388278112239,0.01841633778386829,0.0001841633778386829,0.00018416337783868283,-0.08860005992182697,-0.06525944510785159,-0.052892951030295156,-0.040098012871932216,-0.016576304039795008
cluster_region-DG,0.07634932111721261,0.025696700795078742,0.0002569670079507874,0.00025696700795078736,0.026100970895058993,0.0588103419366722,0.07675040671602444,0.09353143121173935,0.12701044029675318
cluster_region-LP,0.15723150538405098,0.018942295614273463,0.0001894229561427346,0.00019562203551122965,0.12023623020004189,0.14440688279695402,0.15726015482079525,0.1700924495006003,0.19527798167791602
cluster_region-LS,-0.4610513409511041,0.020374684051899232,0.0002037468405189923,0.00020374684051899206,-0.5009636353527618,-0.4750042398583974,-0.4611355290906762,-0.44729132717114806,-0.42142575476778565
cluster_region-MBm,0.8861069219188971,0.014381463785721894,0.00014381463785721895,0.00014381463785721906,0.8580128617881159,0.8763299450474128,0.8861048059234462,0.8958647107765816,0.9140981088375177
cluster_region-MOs,0.05505296782997431,0.023664365157358917,0.00023664365157358917,0.00023664365157358876,0.00800709222482059,0.03964935017198337,0.0552240061599579,0.07073968655022822,0.10164425553944408
cluster_region-mPFC,-0.5482449574096302,0.03392818984216424,0.0003392818984216424,0.00033928189842164234,-0.6157647617144756,-0.5712090677829502,-0.5479505519665497,-0.5251403321688343,-0.48225439547522037
cluster_region-OLF,-0.2538336997702526,0.026228704330305407,0.00026228704330305406,0.00026228704330305373,-0.30466848253735757,-0.27165382081071393,-0.2538410584817345,-0.23613364515928334,-0.20287562092280464
cluster_region-ORB,-0.18937554320845396,0.02603244424030612,0.0002603244424030612,0.00025501530166695876,-0.2398247308799448,-0.20704430098069898,-0.18978453626223618,-0.17196046362594772,-0.13750679617499342
cluster_region-PO,0.35884783448613966,0.016995713789064153,0.00016995713789064154,0.00016995713789064198,0.32567824192954914,0.3472358836163528,0.3587188498860157,0.3703133834699953,0.39274627752482477
cluster_region-PPC,-0.04626796881001358,0.02658656432457155,0.00026586564324571554,0.0002701615975636359,-0.09779227096044443,-0.0639528313500583,-0.04650514843502316,-0.02865553389279868,0.0067488355543823386
cluster_region-SCm,0.5023004667353183,0.021989694579661774,0.00021989694579661772,0.00021989694579661786,0.45875812224896023,0.48775958058115465,0.5023403974077878,0.5170615325831983,0.5452252761565111
cluster_region-VISp+pm,0.16680016926539268,0.02746613673034509,0.0002746613673034509,0.0002789902152933551,0.1125477130012079,0.14862323536196853,0.1667665155373804,0.1851545648270691,0.2203389856309966
sig2,5.305199561892187,0.01817027667207127,0.0001817027667207127,0.00018170276672071248,5.269128103324176,5.292857514586217,5.305130445135976,5.317610124470159,5.340537257428606
g_cluster_region,0.04834155869335673,0.01975157475936668,0.00019751574759366682,0.00019717090515888674,0.023404325787321004,0.035145925370942736,0.044048021273401114,0.05674415206567746,0.09833822083997606
g_continuous,0.06154915306125704,0.11397149157705228,0.0011397149157705228,0.0011397149157705254,0.011435383120603373,0.02347470427115106,0.037388285410583776,0.06605547405913942,0.2518382695964578
