,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.14845319508693974,0.0016815270515398776,1.6815270515398775e-05,1.6815270515398802e-05,0.14524954882499436,0.1473077089109299,0.1484606407381816,0.1495829187887593,0.15179457978187086
age_years-age_years,0.0003918849190092997,0.004874068520064404,4.874068520064404e-05,4.874068520064401e-05,-0.009156809110722515,-0.002914611584396206,0.00042524438977288896,0.003641026867003055,0.009949066902188107
abs_contrast-abs_contrast,0.009277191433794607,0.003854276340230231,3.854276340230231e-05,3.854276340230229e-05,0.0018807568675962142,0.0066590350247563365,0.009273391247830632,0.011844238979303676,0.01683615759024829
n_trials-n_trials,0.002329795070060324,0.00016471406725911177,1.6471406725911176e-06,1.6730804029863866e-06,0.0020088632217384224,0.002218279783187927,0.0023296398377933344,0.002440837003238726,0.002651729205769812
cluster_region-ACA,-0.08818094205366646,0.008733122256696544,8.733122256696544e-05,8.610328614762086e-05,-0.10516406300065168,-0.0941208550679108,-0.08814832364390147,-0.08235412974871877,-0.07130244146197971
cluster_region-ACB,-0.019968900969769034,0.011203930560525764,0.00011203930560525764,0.00011382669366091243,-0.041827594348422543,-0.027571407777557223,-0.019945934648684143,-0.012405998869806957,0.0016908293996479335
cluster_region-CA1,0.12994782366952323,0.005478633463174727,5.478633463174727e-05,5.478633463174728e-05,0.11924541625770936,0.12617169121723903,0.12995016396003473,0.13368065975856364,0.14055067921969344
cluster_region-CP,-0.026960458412855465,0.004583049257647589,4.5830492576475885e-05,4.585854092511425e-05,-0.0360578731503431,-0.03001716462531767,-0.026956766091597067,-0.02391049019923206,-0.017920809765727987
cluster_region-DG,0.16563704986025776,0.00641121751061843,6.41121751061843e-05,6.539294749477178e-05,0.15303663053178626,0.16126738165734827,0.1655967969552698,0.1700188974780396,0.17832263666356218
cluster_region-LP,0.215975307359655,0.0046673991146281586,4.667399114628159e-05,4.6673991146281576e-05,0.2068394829061532,0.21284189501116318,0.21598458417396738,0.2191643172135587,0.22517864619057856
cluster_region-LS,-0.09256442290479401,0.005011290080184647,5.011290080184647e-05,5.011290080184653e-05,-0.10243101191441098,-0.09593559005321245,-0.09251720868205253,-0.08919774049253874,-0.08282839847932241
cluster_region-MBm,-0.07028897906983692,0.003553177819118411,3.553177819118411e-05,3.5531778191184136e-05,-0.07738303122002511,-0.07266626389997749,-0.07029433427723876,-0.0678489707718865,-0.06346949779125051
cluster_region-MOs,-0.07194733558057372,0.005782587760354416,5.782587760354416e-05,5.650547091256185e-05,-0.08340910390576037,-0.07583324085400463,-0.07187219223439652,-0.06807002490916506,-0.060547629627650035
cluster_region-mPFC,-0.1233844641015556,0.008645474404817683,8.645474404817683e-05,8.522715536651105e-05,-0.1405725871862318,-0.12915447300894514,-0.12340449414349033,-0.11748318414470277,-0.10641485309846793
cluster_region-OLF,-0.01799605343035657,0.006420382107745665,6.420382107745664e-05,6.571285661566098e-05,-0.030442519912465823,-0.022310349814041112,-0.017998680686824343,-0.013634832407882685,-0.005632509311575091
cluster_region-ORB,-0.017261232467157384,0.006447673500592274,6.447673500592274e-05,6.677486605554943e-05,-0.02988649476054489,-0.021608037116797582,-0.017204503561318998,-0.012887411131186341,-0.004752124840183568
cluster_region-PO,0.20106993344057844,0.004250892684501291,4.25089268450129e-05,4.2508926845012875e-05,0.19273528558725075,0.19819974361104245,0.2010704170190446,0.20395089960001492,0.20946148925331123
cluster_region-PPC,-0.12511676559322146,0.006637111838108319,6.63711183810832e-05,6.637111838108321e-05,-0.138085115779796,-0.12965580063924828,-0.12515811886689454,-0.1205297506045761,-0.11230223579669546
cluster_region-SCm,0.0005756510305678599,0.005366110771352967,5.366110771352967e-05,5.366110771352974e-05,-0.00970100309235569,-0.003058381056532308,0.0005851507132607633,0.004200023485760873,0.010996302436633385
cluster_region-VISp+pm,-0.05953621077679574,0.006768770151852727,6.768770151852726e-05,6.768770151852729e-05,-0.0727669181646291,-0.06412560650806566,-0.0595034687592919,-0.054966597766895275,-0.04625112673666011
sig2,0.3228304680390908,0.0011237460938430793,1.1237460938430793e-05,1.123746093843077e-05,0.32064693917115394,0.3220719814392115,0.3228252134332359,0.3235775840453524,0.32506098407597134
g_cluster_region,0.06127126785110285,0.025526856155391558,0.0002552685615539156,0.0002619237864515406,0.029901934460953128,0.043937644400176945,0.05585807718867116,0.07196915710344674,0.12510275305238977
g_continuous,0.06273582131737547,0.10558771487488977,0.0010558771487488977,0.0010558771487488995,0.01129427902968847,0.02342607994108378,0.03742484523023944,0.06588434029863177,0.2707158819863253
