,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,0.22383390551992915,0.004610157251912063,4.610157251912063e-05,4.542817063659356e-05,0.2147847125021376,0.22070623277978535,0.22385867669188714,0.22695948477292405,0.2329209643802312
age_years-age_years,-0.00037123574718933957,0.013658607336427044,0.00013658607336427045,0.0001365860733642704,-0.026811648617477778,-0.009715876348186823,-0.0004890732437312584,0.00872407079699604,0.02691372661149307
n_trials-n_trials,-0.0001518981977583996,8.974280030752077e-05,8.974280030752077e-07,8.974280030752084e-07,-0.00032845814697777333,-0.00021268663452843215,-0.00015139758263287776,-9.019574680643875e-05,2.2089243143779133e-05
cluster_region-ACA,-0.08491759570044642,0.023700852900196256,0.00023700852900196257,0.0002370085290019626,-0.1311657619044034,-0.1010605963647858,-0.08489000179385678,-0.0686700728067058,-0.03970468666794724
cluster_region-ACB,-0.035624726998512275,0.02984959193269605,0.0002984959193269605,0.0002984959193269612,-0.09434639459494658,-0.05544482399827277,-0.036012552027324535,-0.015530226560561827,0.02336722636206663
cluster_region-CA1,0.12160775086289852,0.014956532372039795,0.00014956532372039795,0.00014956532372039795,0.09238064124053888,0.11140179168465865,0.12146663821399399,0.1318254512086327,0.1512296368213031
cluster_region-CP,-0.0074113622640335245,0.012478260947198885,0.00012478260947198884,0.00012196343361895568,-0.03181083974859902,-0.01593516716452487,-0.007326506591125948,0.001061745866450084,0.017171715102308333
cluster_region-DG,0.1646180736859323,0.017276657865561363,0.00017276657865561364,0.000179761992306037,0.13072228799521948,0.1528197859581842,0.16467002217603882,0.17617608437326074,0.19894157157623296
cluster_region-LP,0.2507707465797544,0.012702063415494942,0.00012702063415494943,0.00012702063415494938,0.22649131421330412,0.24206409457398767,0.25073953014715544,0.2593593856253399,0.2756102755712098
cluster_region-LS,-0.11701837183867529,0.013605788499243586,0.00013605788499243586,0.00013605788499243565,-0.14386018805322084,-0.126315026579149,-0.11691523893735818,-0.107865277721167,-0.09043090051512215
cluster_region-MBm,-0.08189884953728593,0.009685919051068522,9.685919051068522e-05,9.685919051068523e-05,-0.10037903354260147,-0.0884786444636107,-0.08188519767442591,-0.07547421363568997,-0.06294932762982061
cluster_region-MOs,-0.08109512986686311,0.01596011050837017,0.00015960110508370166,0.00015537539656196214,-0.11242443044707896,-0.0917520440595484,-0.08112217581387796,-0.07022344199685919,-0.04993124893088784
cluster_region-mPFC,-0.1273314181402892,0.023064517310481147,0.00023064517310481146,0.00023064517310481127,-0.17299457293675277,-0.14305783201590105,-0.1275798802506598,-0.11170591351708234,-0.08215917789948966
cluster_region-OLF,-0.021768875299503034,0.017720925090012617,0.00017720925090012617,0.00017720925090012596,-0.05621221830859713,-0.03378687954576909,-0.021750975200033437,-0.009944436444732191,0.012858790726860645
cluster_region-ORB,-0.017484542019693048,0.017507378241942474,0.00017507378241942475,0.00017507378241942437,-0.05221893582677878,-0.029368587802542232,-0.017513533583303605,-0.005501720431194436,0.016971536397949346
cluster_region-PO,0.23406300488004794,0.011605901676410691,0.0001160590167641069,0.00011605901676410659,0.2113547855785367,0.22627402691253973,0.23409563161694755,0.2418829883523162,0.25650559561033187
cluster_region-PPC,-0.13257405850677914,0.018017507533081394,0.00018017507533081394,0.0001801750753308137,-0.16895630814333076,-0.144550291053117,-0.1324863428936473,-0.12022701595093069,-0.0974654624209115
cluster_region-SCm,0.0032940684636529488,0.014659486937489388,0.00014659486937489388,0.00014659486937489388,-0.025496676615645093,-0.006721422000853483,0.0033817794726120273,0.013382006677755146,0.03210264843523904
cluster_region-VISp+pm,-0.06722871430020515,0.01881953038908183,0.00018819530389081827,0.0001835973811464261,-0.10422213095014778,-0.07978852906920933,-0.06719007059821039,-0.05443754707509535,-0.03016157778208542
sig2,0.2725491855134199,0.002820125933493963,2.8201259334939628e-05,2.8201259334939648e-05,0.2671296529478758,0.27061478243279935,0.2725421150108286,0.2744602147975089,0.2781249726434315
g_cluster_region,0.08082221891318246,0.032636844285583354,0.00032636844285583355,0.0003338989779733212,0.0387567122471237,0.05836926438018614,0.07419721552577972,0.09549041712753836,0.1631134296371015
g_continuous,0.12456119604623052,0.4760933303573297,0.004760933303573297,0.0047609333035732926,0.013669098673749217,0.030484611929093377,0.05296881801171594,0.10476030209644535,0.5891904389531716
