,Mean,SD,Naive SE,Time-series SE,2.5%,25%,50%,75%,97.5%
mu,1.382917731654529,0.00632289199316961,6.32289199316961e-05,6.32289199316961e-05,1.3706085618715207,1.3786076898506237,1.3829470801343626,1.3872077474647333,1.3950598112473613
age_years-age_years,0.2160896813104007,0.018451271329961588,0.00018451271329961586,0.00019234657267796422,0.17983220850393172,0.20361329878687737,0.21595533866969535,0.22848514152437688,0.2522482944844971
abs_contrast-abs_contrast,-0.011865715684645551,0.014800543494558978,0.0001480054349455898,0.00014272945465366343,-0.04085596034911728,-0.022036576427006214,-0.011819260973067304,-0.0017685483846992833,0.0172332929532169
n_trials-n_trials,0.014892921440176827,0.000624056722259621,6.2405672225962095e-06,6.240567222596198e-06,0.01368625013534268,0.01446814853522653,0.014878733354509245,0.015308282922536175,0.016132526102737223
cluster_region-ACA,-0.2814714592756972,0.03283520756263326,0.0003283520756263325,0.0003181937219677725,-0.345378555264955,-0.30333240166334724,-0.28206057993739897,-0.2591269863534311,-0.2164500463823357
cluster_region-ACB,0.032538264141166374,0.041627317021742945,0.00041627317021742944,0.00041627317021742944,-0.049952612350364696,0.004568689655476556,0.03272114935657907,0.06046549581844431,0.11419089676310157
cluster_region-CA1,0.28197631736803597,0.02069197929312606,0.0002069197929312606,0.00020691979293126057,0.2412521697873749,0.2680248921126229,0.28190034977988276,0.29620750833882836,0.322613353748495
cluster_region-CP,-0.4795813893657704,0.017104553704642665,0.00017104553704642668,0.00017104553704642663,-0.5132289926049619,-0.49118059156472116,-0.47963950228825164,-0.468016992344615,-0.44620280971350934
cluster_region-DG,0.34336686679999123,0.024185912863069526,0.00024185912863069526,0.00024185912863069545,0.29585653505753623,0.3271814973886061,0.34311414949127916,0.3596234091452686,0.39147425020551774
cluster_region-LP,-0.10312543429683643,0.017683709139936138,0.0001768370913993614,0.00017683709139936144,-0.13815127786099654,-0.11483820372390877,-0.10336241964767642,-0.0911711849556304,-0.06834380087520814
cluster_region-LS,-0.1824085101465061,0.019101760445918176,0.00019101760445918174,0.00018401620862190294,-0.21961978255994452,-0.19504622524914492,-0.1825855467622895,-0.16964434729393998,-0.14493672273772507
cluster_region-MBm,0.8187376298508572,0.0136467130021604,0.000136467130021604,0.00013454900042408774,0.7925036266038603,0.8095149554506662,0.818582093939513,0.8279019078224434,0.8456445989779975
cluster_region-MOs,0.009892825437344873,0.02213438742030951,0.0002213438742030951,0.00022134387420309483,-0.034141140531018875,-0.004791972973103197,0.009969223180401074,0.024912886828264758,0.05355505495253046
cluster_region-mPFC,-0.3881897071900551,0.03211706902489898,0.00032117069024898976,0.00032117069024898955,-0.4520790589657756,-0.4097604119362894,-0.38808510285835324,-0.36667635540823396,-0.3253318189090331
cluster_region-OLF,-0.13772423342186757,0.024762919196397584,0.0002476291919639758,0.00025176281415492397,-0.1870998333995924,-0.15392060993340465,-0.13766053022719626,-0.12129683963999092,-0.08819367380153753
cluster_region-ORB,-0.26522930874812295,0.024434814916713427,0.00024434814916713424,0.0002443481491671346,-0.3125493259759933,-0.28164841741675495,-0.26535997054464083,-0.24872485710885017,-0.2176214505071632
cluster_region-PO,0.04691014841497124,0.01622373526508087,0.00016223735265080873,0.00016223735265080865,0.016041426057532525,0.03578767853758153,0.04668321631619715,0.05792887603822613,0.0788618318789591
cluster_region-PPC,-0.21842494148368527,0.02513088097627274,0.0002513088097627274,0.00025130880976272747,-0.26672939694413395,-0.23541602189380412,-0.21864560053015847,-0.20154458381825907,-0.16919733173130258
cluster_region-SCm,0.5197705568522835,0.02044196682991464,0.00020441966829914636,0.0002044196682991466,0.4789470165041141,0.5061311136657172,0.5196834208533654,0.5334571537502921,0.5595415999052445
cluster_region-VISp+pm,0.002962375063890984,0.025880087161961773,0.00025880087161961774,0.0002629951088164948,-0.047211569258345784,-0.014486814638268503,0.0025458651314914605,0.020217886169377565,0.05426604239004891
sig2,4.705448145700347,0.016125077973790196,0.00016125077973790197,0.00016125077973790208,4.67387435408199,4.694787532925738,4.70523863216321,4.716148567652647,4.737483721424211
g_cluster_region,0.045237114553011694,0.01860911948497638,0.00018609119484976378,0.00018609119484976424,0.022052490916215393,0.03269021500728667,0.0412065315388655,0.05283772235605202,0.09347216898910095
g_continuous,0.06559901900564906,0.1378183249712728,0.001378183249712728,0.0013781832497127271,0.011593506966334313,0.024184477704623182,0.039300706927790224,0.06823827536554156,0.2653231679475971
