cluster_region,metric,formula_full,BF10_age,BF10_age_category,BF10_region,mean_contrast,low_ci_contrast,high_ci_contrast,mean_age,low_ci_age,high_ci_age,age_ci_conclusion,contrast_ci_conclusion
MOs,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[151.52947399],strong H1,inconclusive,,,,,,,True,True
ACA,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.93825232],weak H0,inconclusive,,,,,,,True,True
CP,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.19156393],moderate H0,inconclusive,,,,,,,True,True
LS,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[1910088.88917159],strong H1,inconclusive,,,,,,,True,True
ACB,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[2688.54869059],strong H1,inconclusive,,,,,,,True,True
mPFC,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.80526995],weak H0,inconclusive,,,,,,,True,True
ORB,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.16724404],moderate H0,inconclusive,,,,,,,True,True
OLF,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[1.33421929],weak H1,inconclusive,,,,,,,True,True
VISp+pm,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[2022.8660106],strong H1,inconclusive,,,,,,,True,True
SCm,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[2.71501886e+08],strong H1,inconclusive,,,,,,,True,True
MBm,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.62447008],weak H0,inconclusive,,,,,,,True,True
PPC,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.06555015],strong H0,inconclusive,,,,,,,True,True
CA1,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[1.24945348],weak H1,inconclusive,,,,,,,True,True
DG,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.81973185],weak H0,inconclusive,,,,,,,True,True
LP,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[82.93451222],strong H1,inconclusive,,,,,,,True,True
PO,ff_quench,ff_quench ~ age_years + abs_contrast + n_trials ,[0.03297149],strong H0,inconclusive,,,,,,,True,True
