,cluster_region,metric,formula_full,BF10_age,BF10_age_category,BF10_region,mean_contrast,low_ci_contrast,high_ci_contrast,mean_age,low_ci_age,high_ci_age,age_ci_conclusion,contrast_ci_conclusion
0,MOs,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.452493445031718,weak H0,,,,,,,,True,True
1,ACA,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.17623103804007534,moderate H0,,,,,,,,True,True
2,CP,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.2125177798114756,moderate H0,,,,,,,,True,True
3,LS,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.09326711494308906,strong H0,,,,,,,,True,True
4,ACB,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.5486380804792091,weak H0,,,,,,,,True,True
5,mPFC,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.22164600877584717,moderate H0,,,,,,,,True,True
6,ORB,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.12138790175989624,moderate H0,,,,,,,,True,True
7,OLF,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.18602740887352562,moderate H0,,,,,,,,True,True
8,VISp+pm,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.12089400144445268,moderate H0,,,,,,,,True,True
9,SCm,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,6.731935492344896,moderate H1,,,,,,,,True,True
10,MBm,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,7.0979600634138444,moderate H1,,,,,,,,True,True
11,PPC,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.13215479249847348,moderate H0,,,,,,,,True,True
12,CA1,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.1161061384325115,moderate H0,,,,,,,,True,True
13,DG,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.19086326104210397,moderate H0,,,,,,,,True,True
14,LP,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,0.08636339091103062,strong H0,,,,,,,,True,True
15,PO,ff_quench_modulation,ff_quench_modulation ~ age_years + n_trials,1.4985281657259426,weak H1,,,,,,,,True,True
