,cluster_region,metric,formula_full,BF10_age,BF10_age_category,BF10_region,mean_contrast,low_ci_contrast,high_ci_contrast,mean_age,low_ci_age,high_ci_age,age_ci_conclusion,contrast_ci_conclusion
0,MOs,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,2395.9414353109896,strong H1,,,,,,,,True,True
1,ACA,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,0.0716507724886194,strong H0,,,,,,,,True,True
2,CP,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,1332.9466061780088,strong H1,,,,,,,,True,True
3,LS,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,11552.553118270504,strong H1,,,,,,,,True,True
4,ACB,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,6936.421417917881,strong H1,,,,,,,,True,True
5,mPFC,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,2053.654374311414,strong H1,,,,,,,,True,True
6,ORB,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,1.5783745978070642,weak H1,,,,,,,,True,True
7,OLF,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,3.698799683674604,moderate H1,,,,,,,,True,True
8,VISp+pm,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,0.06426174340257161,strong H0,,,,,,,,True,True
9,SCm,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,3.339165595484555e+26,strong H1,,,,,,,,True,True
10,MBm,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,670887682421790.5,strong H1,,,,,,,,True,True
11,PPC,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,495193.33102629014,strong H1,,,,,,,,True,True
12,CA1,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,6048.583551706026,strong H1,,,,,,,,True,True
13,DG,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,0.1941427868229441,moderate H0,,,,,,,,True,True
14,LP,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,0.7823999745959326,weak H0,,,,,,,,True,True
15,PO,post_ff,log_post_ff ~ age_years + abs_contrast + n_trials,709014992547.9736,strong H1,,,,,,,,True,True
