cluster_region,metric,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,n_cluster,1000,n_cluster ~ age_years,-2.1186886136733523,0.6020115201400043,0.6123876123876124,0.15079900313788136
ACA,n_cluster,1000,n_cluster ~ age_years,-6.498737724082074,0.10295262176466394,0.11288711288711288,0.07648104924593625
CP,n_cluster,1000,n_cluster ~ age_years,-13.484972452519562,0.16233716728289427,0.17382617382617382,0.13908534048888005
LS,n_cluster,1000,n_cluster ~ age_years,-14.1947826075004,0.15913254861922654,0.16183816183816183,-0.3980192698114974
ACB,n_cluster,1000,n_cluster ~ age_years,-9.426362885598953,0.07602028923720253,0.07392607392607392,-0.014249771587218647
mPFC,n_cluster,1000,n_cluster ~ age_years,-11.674742333311539,0.1566232298055321,0.17482517482517482,0.17538889406827207
ORB,n_cluster,1000,n_cluster ~ age_years,-34.370757929621774,0.09033009357512208,0.0979020979020979,1.065043216601643
OLF,n_cluster,1000,n_cluster ~ age_years,-21.381015481521533,0.019221787987311455,0.01998001998001998,0.08146282607309716
VISp+pm,n_cluster,1000,n_cluster ~ age_years,0.7624589536204636,0.8754626324074172,0.8651348651348651,-0.21283409546049273
SCm,n_cluster,1000,n_cluster ~ age_years,-2.3792332623401777,0.7491826031432121,0.7442557442557443,0.17433954455521333
MBm,n_cluster,1000,n_cluster ~ age_years,2.7231863606918774,0.5834459444881663,0.5874125874125874,-0.06838805176249031
PPC,n_cluster,1000,n_cluster ~ age_years,-7.303427050022491,0.010838469189013421,0.015984015984015984,0.04077906953383844
CA1,n_cluster,1000,n_cluster ~ age_years,-2.8568834475119953,0.14807943331700285,0.11988011988011989,0.06982217540083133
DG,n_cluster,1000,n_cluster ~ age_years,-3.1420184333021983,0.06625245927669424,0.055944055944055944,0.019967910404307666
LP,n_cluster,1000,n_cluster ~ age_years,-11.31433079019501,0.010402572378201273,0.008991008991008992,-0.19245616648914268
PO,n_cluster,1000,n_cluster ~ age_years,-4.291570255509089,0.763263364722616,0.7472527472527473,-0.9155581138951762
