cluster_region,metric,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,neural_yield,1000,neural_yield ~ age_years,-0.06273107590995808,0.210109418290363,0.22677322677322678,0.0009008946869467964
ACA,neural_yield,1000,neural_yield ~ age_years,-0.22562863253527288,0.0012250174502267245,0.001998001998001998,0.0019726253040806014
CP,neural_yield,1000,neural_yield ~ age_years,-0.04299442581431757,0.5397759705073252,0.5424575424575424,-0.0006843470541139712
LS,neural_yield,1000,neural_yield ~ age_years,-0.2175188437169414,0.007119224674872306,0.012987012987012988,-0.0019996232414136723
ACB,neural_yield,1000,neural_yield ~ age_years,-0.2097035989885064,0.0685264855904099,0.07692307692307693,0.0010958804696935658
mPFC,neural_yield,1000,neural_yield ~ age_years,-0.25014992825815835,0.018480049655626562,0.027972027972027972,-0.0004257363492610755
ORB,neural_yield,1000,neural_yield ~ age_years,-0.23821759718555677,0.057595577760344324,0.056943056943056944,0.0060273507623316465
OLF,neural_yield,1000,neural_yield ~ age_years,-0.21050768290896213,0.02714893591187405,0.026973026973026972,0.0015025025538072888
VISp+pm,neural_yield,1000,neural_yield ~ age_years,0.10615089352568349,0.2572522283244333,0.21478521478521478,-0.0044264232049318055
SCm,neural_yield,1000,neural_yield ~ age_years,-0.01550414333945676,0.8076601404593945,0.7862137862137862,0.0016346175356886812
MBm,neural_yield,1000,neural_yield ~ age_years,-0.01836850922299045,0.608783248406962,0.6133866133866134,-0.001504485529398436
PPC,neural_yield,1000,neural_yield ~ age_years,-0.13492993539599735,0.0010454589975718684,0.001998001998001998,-5.4394971497013445e-05
CA1,neural_yield,1000,neural_yield ~ age_years,-0.058274356822770046,0.023623762490234835,0.02097902097902098,0.00039362792800223367
DG,neural_yield,1000,neural_yield ~ age_years,-0.033376600442533384,0.08147942104220819,0.08691308691308691,0.00034228755066439975
LP,neural_yield,1000,neural_yield ~ age_years,-0.18156310250236254,0.019721035849443524,0.01898101898101898,-0.004559075704112907
PO,neural_yield,1000,neural_yield ~ age_years,-0.08581947086299013,0.5852700901523319,0.5974025974025974,-0.00789171425415399
