cluster_region,metric,n_perm,formula,observed_val,observed_val_p,p_perm,ave_null_dist
MOs,neural_yield,1000,neural_yield ~ age_years,-0.06198067241150904,0.21457610101365632,0.22877122877122877,0.0009086644591090731
ACA,neural_yield,1000,neural_yield ~ age_years,-0.22544828698689282,0.0012255657398569598,0.001998001998001998,0.001973360322389087
CP,neural_yield,1000,neural_yield ~ age_years,-0.042806989579548635,0.5417364643197182,0.5434565434565435,-0.000680861520923095
LS,neural_yield,1000,neural_yield ~ age_years,-0.21827540251875222,0.007000955723323961,0.012987012987012988,-0.0019751802643493454
ACB,neural_yield,1000,neural_yield ~ age_years,-0.2097035989885064,0.0685264855904099,0.07692307692307693,0.0010958804696935658
mPFC,neural_yield,1000,neural_yield ~ age_years,-0.25014992825815835,0.018480049655626562,0.027972027972027972,-0.0004257363492610755
ORB,neural_yield,1000,neural_yield ~ age_years,-0.23961063905777683,0.05586375390977248,0.055944055944055944,0.005963995540073687
OLF,neural_yield,1000,neural_yield ~ age_years,-0.20665522313943308,0.03071923043131442,0.03196803196803197,0.0015434815634762355
VISp+pm,neural_yield,1000,neural_yield ~ age_years,0.10615089352568349,0.2572522283244333,0.21478521478521478,-0.0044264232049318055
SCm,neural_yield,1000,neural_yield ~ age_years,-0.01550414333945676,0.8076601404593945,0.7862137862137862,0.0016346175356886812
MBm,neural_yield,1000,neural_yield ~ age_years,-0.01714181850728774,0.6338896526770563,0.6353646353646354,-0.0015797874761885298
PPC,neural_yield,1000,neural_yield ~ age_years,-0.13473019312898757,0.0010613118529241878,0.001998001998001998,-5.284399103281062e-05
CA1,neural_yield,1000,neural_yield ~ age_years,-0.05795808578518927,0.02471579561394237,0.02197802197802198,0.00039951630402018374
DG,neural_yield,1000,neural_yield ~ age_years,-0.03385317625420407,0.07794356889574934,0.07592407592407592,0.0001721972524413086
LP,neural_yield,1000,neural_yield ~ age_years,-0.18027981862754142,0.020969109261842648,0.01998001998001998,-0.0045442120384745705
PO,neural_yield,1000,neural_yield ~ age_years,-0.08581947086299013,0.5852700901523319,0.5974025974025974,-0.00789171425415399
