metric,cluster_region,BF10,BF_conclusion
neural_yield,MOs,0.30692729112461953,moderate H0
neural_yield,ACA,16.084812753778657,strong H1
neural_yield,CP,0.16848026480780376,moderate H0
neural_yield,LS,4.614841359410715,moderate H1
neural_yield,ACB,0.9675661029444322,weak H0
neural_yield,mPFC,2.438589198246775,weak H1
neural_yield,ORB,1.2079287697551486,weak H1
neural_yield,OLF,1.6606046326081363,weak H1
neural_yield,VISp+pm,0.28895856896277955,moderate H0
neural_yield,SCm,0.14846156489481627,moderate H0
neural_yield,MBm,0.11276722437982215,moderate H0
neural_yield,PPC,18.827620858475257,strong H1
neural_yield,CA1,1.1485598214537582,weak H1
neural_yield,DG,0.47628210125171844,weak H0
neural_yield,LP,1.65569111310744,weak H1
neural_yield,PO,0.1924467973303981,moderate H0
